name,team,league,season,penalties_scored,penalties_taken
Salvatore Fresi,Perugia,Italy,2003,2,2
Pierre-Alain Frau,Sochaux,France,2003,3,4
Mikael Forssell,Birmingham City,England,2003,1,1
Jimmy Floyd Hasselbaink,Chelsea,England,2003,2,2
Francesco Flachi,Sampdoria,Italy,2003,1,2
Fernando,Betis,Spain,2003,3,4
Luís Figo,Real Madrid,Spain,2003,5,6
Cédric Fauré,Toulouse,France,2003,3,4
James Fanchone,Le Mans,France,2003,1,1
Jason Euell,Charlton Ath,England,2003,3,3
Joseba Etxeberria,Athletic Club,Spain,2003,1,1
Samuel Eto'o,Mallorca,Spain,2003,6,8
Edu,Celta Vigo,Spain,2003,0,1
David Dunn,Birmingham City,England,2003,1,2
Luis García,Real Murcia,Spain,2003,4,4
Didier Drogba,Marseille,France,2003,3,3
Antonio Filippini,Brescia,Italy,2003,1,1
Torben Hoffmann,1860 Munich,Germany,2003,1,1
Papa Bouba Diop,Lens,France,2003,1,1
Giampiero Maini,Ancona,Italy,2003,1,1
James Beattie,Southampton,England,2003,2,2
Antonio Di Natale,Empoli,Italy,2003,0,1
David Di Michele,Reggina,Italy,2003,1,1
Eusebio Di Francesco,Perugia,Italy,2003,0,1
Paolo Di Canio,Charlton Ath,England,2003,3,4
Igor Demo,M'Gladbach,Germany,2003,0,1
Alessandro Del Piero,Juventus,Italy,2003,2,3
Jean-Claude Darcheville,Bordeaux,France,2003,2,3
Samuele Dalla Bona,Bologna,Italy,2003,1,1
Jon Dahl Tomasson,Milan,Italy,2003,1,1
Lorenzo D'Anna,Chievo,Italy,2003,3,3
Daniel Cousin,Le Mans,France,2003,0,1
Soumaila Coulibaly,Freiburg,Germany,2003,2,2
Djibril Cissé,Auxerre,France,2003,1,1
Dragan Ćirić,Valladolid,Spain,2003,1,1
Malcolm Christie,Middlesbrough,England,2003,0,1
Thomas Christiansen,Hannover 96,Germany,2003,2,2
Enrico Chiesa,Siena,Italy,2003,4,5
Javier Chevantón,Lecce,Italy,2003,4,6
John Carew,Roma,Italy,2003,1,1
Colin Cameron,Wolves,England,2003,1,2
Hans-Jörg Butt,Leverkusen,Germany,2003,1,2
Bernard Diomède,Ajaccio,France,2003,2,2
Paul Dickov,Leicester City,England,2003,2,3
Marco Di Vaio,Juventus,Italy,2003,1,1
Arnold Bruggink,Mallorca,Spain,2003,1,1
Henri Camara,Wolves,England,2003,0,1
Jörg Böhme,Schalke 04,Germany,2003,1,2
Jay Bothroyd,Perugia,Italy,2003,0,1
Gareth Barry,Aston Villa,England,2003,1,1
Júlio Baptista,Sevilla,Spain,2003,6,6
Habib Bamogo,Montpellier,France,2003,5,6
Salva Ballesta,Málaga,Spain,2003,5,6
Darko Kovačević,Real Sociedad,Spain,2003,0,2
Michael Ballack,Bayern Munich,Germany,2003,0,1
Roberto Baggio,Brescia,Italy,2003,0,3
Carlos Aranda,Albacete,Spain,2003,2,2
José Antonio Reyes,Sevilla,Spain,2003,3,3
Dimitar Berbatov,Leverkusen,Germany,2003,1,2
Rubén Baraja,Valencia,Spain,2003,0,1
Márcio Amoroso,Dortmund,Germany,2003,1,1
Nicolas Anelka,Manchester City,England,2003,4,4
Jan Koller,Dortmund,Germany,2003,1,2
Milenko Ačimovič,Lille,France,2003,2,2
Adriano,Inter,Italy,2003,1,1
Adriano,Parma,Italy,2003,1,1
Nicola Amoruso,Modena,Italy,2003,1,1
Yakubu Aiyegbeni,Portsmouth,England,2003,2,2
Demetrio Albertini,Lazio,Italy,2003,1,1
John Aloisi,Osasuna,Spain,2003,0,1
Cristian Álvarez,Racing Sant,Spain,2003,3,3
Aílton,Werder Bremen,Germany,2003,5,6
Boudewijn Zenden,Middlesbrough,England,2004,1,1
Marama Vahirua,Nice,France,2004,5,6
Francisco Yeste,Athletic Club,Spain,2004,1,1
Cyrille Watier,Caen,France,2004,2,2
Andriy Voronin,Leverkusen,Germany,2004,1,1
Róbert Vittek,Nürnberg,Germany,2004,1,1
David Villa,Zaragoza,Spain,2004,3,4
Christian Vieri,Inter,Italy,2004,2,2
Ferydoon Zandi,Kaiserslautern,Germany,2004,4,4
Fernando Torres,Atlético Madrid,Spain,2004,4,5
David Unsworth,Portsmouth,England,2004,2,2
Levan Tskitishvili,Freiburg,Germany,2004,0,1
Diego Tristán,La Coruña,Spain,2004,3,3
Francesco Totti,Roma,Italy,2004,3,5
Luca Toni,Palermo,Italy,2004,3,3
Luis Tevenet,Numancia,Spain,2004,2,2
Raúl Tamudo,Espanyol,Spain,2004,5,6
Igor Protti,Livorno,Italy,2004,2,2
Zinédine Zidane,Real Madrid,Spain,2004,1,1
Grégory Proment,Metz,France,2004,3,3
John Utaka,Lens,France,2004,1,1
Gianfranco Zola,Cagliari,Italy,2004,3,4
Maxi Rodríguez,Espanyol,Spain,2004,1,1
David Suazo,Cagliari,Italy,2004,1,1
Gaetano D'Agostino,Messina,Italy,2004,1,1
Alan Shearer,Newcastle Utd,England,2004,3,3
Nicolas Savinaud,Nantes,France,2004,2,2
Kor Sarr,Caen,France,2004,1,2
René Rydlewicz,Hansa Rostock,Germany,2004,0,1
Tomáš Rosický,Dortmund,Germany,2004,1,1
Wayne Rooney,Manchester Utd,England,2004,0,1
Ronaldo,Real Madrid,Spain,2004,1,2
Fábio Simplício,Parma,Italy,2004,1,1
Václav Svěrkoš,M'Gladbach,Germany,2004,1,1
Ronaldinho,Barcelona,Spain,2004,3,4
Juan Rodríguez,Málaga,Spain,2004,0,1
Alberto Rivera,Levante,Spain,2004,2,3
Albert Riera,Bordeaux,France,2004,1,1
Julio Ricardo Cruz,Inter,Italy,2004,1,1
Mario Regueiro,Racing Sant,Spain,2004,0,1
Thomas Rasmussen,Hansa Rostock,Germany,2004,1,1
Francisco Puñal,Osasuna,Spain,2004,1,1
Juan Román Riquelme,Villarreal,Spain,2004,8,8
Ervin Skela,Arminia,Germany,2004,0,1
Vicente Rodríguez,Valencia,Spain,2004,1,1
Andrea Pirlo,Milan,Italy,2004,1,3
Olivier Monterrubio,Rennes,France,2004,5,5
Marek Mintál,Nürnberg,Germany,2004,3,4
Martin Petrov,Wolfsburg,Germany,2004,4,4
Mariano Pernía,Getafe,Spain,2004,1,3
Juninho Pernambucano,Lyon,France,2004,2,4
Pauleta,Paris S-G,France,2004,5,7
Alessandro Parisi,Messina,Italy,2004,4,4
Marcelinho Paraíba,Hertha BSC,Germany,2004,4,5
Walter Pandiani,Birmingham City,England,2004,1,1
Mickaël Pagis,Strasbourg,France,2004,4,4
Antonio Pacheco,Albacete,Spain,2004,2,3
Andriy Shevchenko,Milan,Italy,2004,1,1
Kevin Phillips,Southampton,England,2004,1,1
Pablo Orbaiz,Athletic Club,Spain,2004,1,1
Ricardo Oliveira,Betis,Spain,2004,1,1
Jay-Jay Okocha,Bolton,England,2004,4,4
Massimo Oddo,Lazio,Italy,2004,4,4
Ludovic Obraniak,Metz,France,2004,1,1
Ruud van Nistelrooy,Manchester Utd,England,2004,3,3
Oliver Neuville,M'Gladbach,Germany,2004,2,3
Domenico Morfeo,Parma,Italy,2004,0,2
Juan Pablo Ángel,Aston Villa,England,2004,0,3
Mozart,Reggina,Italy,2004,2,2
Zvjezdan Misimović,Bochum,Germany,2004,1,1
Robert Pirès,Arsenal,England,2004,1,1
Mancini,Roma,Italy,2004,1,1
Savo Milošević,Osasuna,Spain,2004,0,1
Fabrizio Miccoli,Fiorentina,Italy,2004,2,2
Carlos Merino,Numancia,Spain,2004,1,1
Camel Meriem,Bordeaux,France,2004,2,2
Silvio Meißner,Stuttgart,Germany,2004,2,2
Michele Marcolini,Atalanta,Italy,2004,2,2
Steed Malbranque,Fulham,England,2004,1,2
Mista,Valencia,Spain,2004,1,1
Claude Makélélé,Chelsea,England,2004,0,1
Daniel Moreira,Toulouse,France,2004,1,1
Peter Madsen,Bochum,Germany,2004,3,4
André Luiz Moreira,Ajaccio,France,2004,2,3
Cristiano Lucarelli,Livorno,Italy,2004,4,5
Jorge López,Mallorca,Spain,2004,0,1
Tomas Locatelli,Bologna,Italy,2004,0,1
Lincoln,Schalke 04,Germany,2004,2,2
Lauren,Arsenal,England,2004,1,1
David Pizarro,Udinese,Italy,2004,2,2
Roy Makaay,Bayern Munich,Germany,2004,3,3
Vincenzo Montella,Roma,Italy,2004,1,2
Albert Luque,La Coruña,Spain,2004,1,2
Antoine Sibierski,Manchester City,England,2004,1,1
Frank Lampard,Chelsea,England,2004,3,3
Milan Baroš,Liverpool,England,2004,2,3
Mateja Kežman,Chelsea,England,2004,1,1
Robbie Keane,Tottenham,England,2004,1,1
Valeri Karpin,Real Sociedad,Spain,2004,3,4
Mohamed Kallon,Monaco,France,2004,3,3
Andrew Johnson,Crystal Palace,England,2004,10,12
Jean-Sébastien Jaurès,Auxerre,France,2004,1,1
Marek Jankulovski,Udinese,Italy,2004,2,2
Edu Gaspar,Arsenal,England,2004,1,1
Valérien Ismaël,Werder Bremen,Germany,2004,2,2
Jan Koller,Dortmund,Germany,2004,0,1
Simone Inzaghi,Lazio,Italy,2004,1,1
Darren Huckerby,Norwich City,England,2004,2,3
Thierry Henry,Arsenal,England,2004,0,1
Horst Heldt,Stuttgart,Germany,2004,1,1
El Hadji Diouf,Bolton,England,2004,1,2
Eiður Guðjohnsen,Chelsea,England,2004,1,1
Federico Giunti,Bologna,Italy,2004,0,1
Alberto Gilardino,Parma,Italy,2004,4,5
Andoni Iraola,Athletic Club,Spain,2004,1,2
Ilan,Sochaux,France,2004,1,2
Zlatan Ibrahimović,Juventus,Italy,2004,1,1
Steven Gerrard,Liverpool,England,2004,0,1
Thomas Gravesen,Everton,England,2004,2,2
Luis García,Mallorca,Spain,2004,2,3
Lilian Laslandes,Bordeaux,France,2004,1,1
Robbie Fowler,Manchester City,England,2004,2,3
Diego Forlán,Villarreal,Spain,2004,1,1
Francesco Flachi,Sampdoria,Italy,2004,6,7
Luís Figo,Real Madrid,Spain,2004,2,2
Pascal Feindouno,Saint-Étienne,France,2004,4,4
Javier Farinós,Mallorca,Spain,2004,1,1
Ewerthon,Dortmund,Germany,2004,1,1
Samuel Eto'o,Barcelona,Spain,2004,4,5
Serge Dié,Nice,France,2004,1,1
Robert Earnshaw,West Brom,England,2004,2,3
Davide Dionigi,Reggina,Italy,2004,0,1
Dani García,Espanyol,Spain,2004,1,1
Paul Dickov,Blackburn,England,2004,2,3
Marco Di Vaio,Valencia,Spain,2004,0,1
Paolo Di Canio,Lazio,Italy,2004,3,4
Luigi Di Biagio,Brescia,Italy,2004,5,5
Alessandro Del Piero,Juventus,Italy,2004,4,4
Detlev Dammeier,Arminia,Germany,2004,0,1
Samuele Dalla Bona,Lecce,Italy,2004,3,3
Mauro Esposito,Cagliari,Italy,2004,0,1
James Beattie,Southampton,England,2004,1,1
Peter Crouch,Southampton,England,2004,1,1
Lorenzo D'Anna,Chievo,Italy,2004,1,4
Ivica Banović,Nürnberg,Germany,2004,2,2
Lilian Compan,Saint-Étienne,France,2004,1,1
Andy Cole,Fulham,England,2004,1,2
Djibril Cissé,Liverpool,England,2004,1,1
Javier Chevantón,Monaco,France,2004,1,1
César,Lazio,Italy,2004,1,1
Andrea Caracciolo,Brescia,Italy,2004,2,4
Mauro Camoranesi,Juventus,Italy,2004,1,1
Cacau,Stuttgart,Germany,2004,1,1
Philippe Brunel,Lille,France,2004,2,3
Eugenio Corini,Palermo,Italy,2004,0,3
Jörg Böhme,M'Gladbach,Germany,2004,1,1
Isaac Boakye,Arminia,Germany,2004,1,1
Stefan Blank,Kaiserslautern,Germany,2004,2,2
Robbie Blake,Birmingham City,England,2004,1,1
Antonino Bernardini,Atalanta,Italy,2004,0,1
Selim Benachour,Paris S-G,France,2004,1,1
Claudio Bellucci,Bologna,Italy,2004,4,4
Hans-Jörg Butt,Leverkusen,Germany,2004,1,1
Sergej Barbarez,Hamburger SV,Germany,2004,1,2
Nebojša Krupniković,Hannover 96,Germany,2004,1,1
Mathieu Bodmer,Lille,France,2004,1,1
Daniel Cousin,Lens,France,2004,3,3
James Beattie,Everton,England,2004,0,1
Michael Ballack,Bayern Munich,Germany,2004,1,1
Habib Bamogo,Marseille,France,2004,1,1
Stefan Beinlich,Hamburger SV,Germany,2004,0,1
Ibrahima Bakayoko,Istres,France,2004,2,2
Christof Babatz,Mainz 05,Germany,2004,1,1
Fábio Aurélio,Valencia,Spain,2004,0,1
Dean Ashton,Norwich City,England,2004,1,1
Mikel Arteta,Real Sociedad,Spain,2004,1,1
Gareth Barry,Aston Villa,England,2004,3,3
Márcio Amoroso,Málaga,Spain,2004,1,2
John Aloisi,Osasuna,Spain,2004,1,1
Marcus Allbäck,Hansa Rostock,Germany,2004,0,1
Nicolas Anelka,Manchester City,England,2004,2,2
Niko Kovač,Hertha BSC,Germany,2004,1,1
Pablo Aimar,Valencia,Spain,2004,1,1
Aílton,Schalke 04,Germany,2004,0,1
David Aganzo,Racing Sant,Spain,2004,1,1
Adriano,Inter,Italy,2004,2,4
Milenko Ačimovič,Lille,France,2004,2,2
Nicola Amoruso,Messina,Italy,2004,1,2
David Cubillo,Getafe,Spain,2004,1,1
Yakubu Aiyegbeni,Portsmouth,England,2004,4,4
David Villa,Valencia,Spain,2005,6,7
Róbert Vittek,Nürnberg,Germany,2005,2,3
Sergio Volpi,Sampdoria,Italy,2005,2,2
Mirko Vučinić,Lecce,Italy,2005,3,4
Riccardo Zampagna,Messina,Italy,2005,2,2
Francisco Yeste,Athletic Club,Spain,2005,0,1
Monsef Zerka,Nancy,France,2005,1,2
Diego Tristán,La Coruña,Spain,2005,4,5
Dean Whitehead,Sunderland,England,2005,2,2
Sammy Traoré,Nice,France,2005,1,1
Taye Taiwo,Marseille,France,2005,0,1
Fernando Torres,Atlético Madrid,Spain,2005,3,3
Luca Toni,Fiorentina,Italy,2005,2,5
Tiko,Athletic Club,Spain,2005,1,1
Michael Thurk,Mainz 05,Germany,2005,3,3
Frédéric Thomas,Le Mans,France,2005,1,1
Matthew Taylor,Portsmouth,England,2005,2,2
Francesco Tavano,Empoli,Italy,2005,4,4
Mihai Tararache,MSV Duisburg,Germany,2005,2,2
Mohamed Zidan,Mainz 05,Germany,2005,2,3
Lilian Laslandes,Bordeaux,France,2005,1,1
Francesco Totti,Roma,Italy,2005,6,6
Zinédine Zidane,Real Madrid,Spain,2005,2,3
Maicon Sisenando,Monaco,France,2005,0,1
David Suazo,Cagliari,Italy,2005,5,5
Francisco Puñal,Osasuna,Spain,2005,3,3
Ervin Skela,Kaiserslautern,Germany,2005,1,2
Fábio Simplício,Parma,Italy,2005,2,3
Andriy Shevchenko,Milan,Italy,2005,5,5
Teddy Sheringham,West Ham,England,2005,1,2
Alan Shearer,Newcastle Utd,England,2005,4,4
Björn Schlicke,Köln,Germany,2005,1,1
Sávio,Zaragoza,Spain,2005,1,1
Boubacar Sanogo,Kaiserslautern,Germany,2005,1,1
Víctor Sánchez,La Coruña,Spain,2005,0,1
Tomáš Rosický,Dortmund,Germany,2005,2,2
Ronaldo,Real Madrid,Spain,2005,2,2
Ronaldinho,Barcelona,Spain,2005,7,8
Juan Román Riquelme,Villarreal,Spain,2005,4,6
Robinho,Real Madrid,Spain,2005,0,1
Jason Roberts,Wigan Athletic,England,2005,1,1
Robert,Betis,Spain,2005,1,1
Lars Ricken,Dortmund,Germany,2005,1,1
Julio Ricardo Cruz,Inter,Italy,2005,3,3
Jiří Štajner,Hannover 96,Germany,2005,0,1
Franck Ribéry,Marseille,France,2005,0,1
Raúl Tamudo,Espanyol,Spain,2005,1,4
Xabi Prieto,Real Sociedad,Spain,2005,5,5
Robert Pirès,Arsenal,England,2005,1,3
Mido,Tottenham,England,2005,1,1
Alex Pinardi,Lecce,Italy,2005,3,3
Luigi Pieroni,Auxerre,France,2005,4,4
Mariano Pernía,Getafe,Spain,2005,2,2
Juninho Pernambucano,Lyon,France,2005,2,2
Manolo Pérez,Cádiz,Spain,2005,1,1
Sergio Pellissier,Chievo,Italy,2005,2,2
Pauleta,Paris S-G,France,2005,2,2
Marcelinho Paraíba,Hertha BSC,Germany,2005,4,4
Mickaël Pagis,Strasbourg,France,2005,2,2
Borja Oubiña,Celta Vigo,Spain,2005,0,1
Pablo Orbaiz,Athletic Club,Spain,2005,2,3
Ricardo Oliveira,Betis,Spain,2005,1,1
Jay-Jay Okocha,Bolton,England,2005,0,1
Massimo Oddo,Lazio,Italy,2005,6,6
Victor Obinna,Chievo,Italy,2005,4,4
Benjamin Nivet,Troyes,France,2005,3,3
Ruud van Nistelrooy,Manchester Utd,England,2005,2,3
Oliver Neuville,M'Gladbach,Germany,2005,1,1
Lucas Neill,Blackburn,England,2005,1,1
Gareth Barry,Aston Villa,England,2005,0,2
Ricardo Sousa,Hannover 96,Germany,2005,1,1
Mauricio Pinilla,Racing Sant,Spain,2005,1,1
Leonardo Pisculichi,Mallorca,Spain,2005,1,1
Lukas Podolski,Köln,Germany,2005,2,2
Nenê,Alavés,Spain,2005,1,1
Johan Micoud,Werder Bremen,Germany,2005,0,1
Camel Meriem,Monaco,France,2005,0,1
Jérémy Ménez,Sochaux,France,2005,1,1
Túlio de Melo,Le Mans,France,2005,1,1
Felipe Melo,Racing Sant,Spain,2005,1,2
Silvio Meißner,Stuttgart,Germany,2005,0,1
Enzo Maresca,Sevilla,Spain,2005,6,6
Fodé Mansaré,Toulouse,France,2005,0,1
Mancini,Roma,Italy,2005,3,4
Roy Makaay,Bayern Munich,Germany,2005,2,2
Luke Moore,Aston Villa,England,2005,1,1
Mehdi Mahdavikia,Hamburger SV,Germany,2005,1,1
José Luis Martí,Sevilla,Spain,2005,1,1
Cristiano Lucarelli,Livorno,Italy,2005,4,5
Lucas Lobos,Cádiz,Spain,2005,4,4
Danijel Ljuboja,Stuttgart,Germany,2005,2,2
Lincoln,Schalke 04,Germany,2005,0,2
Cristian Ledesma,Lecce,Italy,2005,1,1
Ulrich Le Pen,Strasbourg,France,2005,2,2
Danny Murphy,Charlton Ath,England,2005,1,1
Grégory Proment,Metz,France,2005,1,2
Adrian Mutu,Juventus,Italy,2005,1,1
Massimo Maccarone,Middlesbrough,England,2005,1,1
Gary Speed,Bolton,England,2005,2,2
Collins John,Fulham,England,2005,1,1
Olivier Monterrubio,Rennes,France,2005,1,1
Paul Dickov,Blackburn,England,2005,2,2
David Kobylík,Arminia,Germany,2005,0,1
Levan Kobiashvili,Schalke 04,Germany,2005,1,2
Miroslav Klose,Werder Bremen,Germany,2005,1,2
Mateja Kežman,Atlético Madrid,Spain,2005,0,1
Claudiu Keșerü,Nantes,France,2005,1,1
Robbie Keane,Tottenham,England,2005,3,4
Miroslav Karhan,Wolfsburg,Germany,2005,1,1
Olivier Kapo,Monaco,France,2005,1,1
Diomansy Kamara,West Brom,England,2005,0,1
Kim Källström,Rennes,France,2005,1,1
Kaká,Milan,Italy,2005,3,3
Jussiê,Lens,France,2005,1,1
Pascal Johansen,Strasbourg,France,2005,1,1
Luis Jiménez,Fiorentina,Italy,2005,0,1
Ilan,Sochaux,France,2005,2,2
Vincenzo Iaquinta,Udinese,Italy,2005,6,6
Thierry Henry,Arsenal,England,2005,3,3
Heiðar Helguson,Fulham,England,2005,3,3
Dani Güiza,Getafe,Spain,2005,1,1
Kaba Diawara,Ajaccio,France,2005,1,1
Nebojša Krupniković,Arminia,Germany,2005,2,2
Hans-Jörg Butt,Leverkusen,Germany,2005,1,1
Marlon Harewood,West Ham,England,2005,2,3
Sébastien Grax,Troyes,France,2005,2,2
Diego Forlán,Villarreal,Spain,2005,1,1
Lauren,Arsenal,England,2005,0,1
Mikael Forssell,Birmingham City,England,2005,2,2
Pierre-Alain Frau,Lens,France,2005,1,1
Alberto Gilardino,Milan,Italy,2005,1,1
Luis García,Espanyol,Spain,2005,1,1
Gerardo,Málaga,Spain,2005,2,2
Paolo Foglio,Siena,Italy,2005,1,1
Steven Gerrard,Liverpool,England,2005,2,2
Torsten Frings,Werder Bremen,Germany,2005,1,1
Jimmy Floyd Hasselbaink,Middlesbrough,England,2005,1,1
Cédric Fauré,Le Mans,France,2005,1,1
Francesco Flachi,Sampdoria,Italy,2005,2,3
Marco Ferrante,Ascoli,Italy,2005,1,1
Duncan Ferguson,Everton,England,2005,1,2
Khalilou Fadiga,Bolton,England,2005,0,1
Ewerthon,Zaragoza,Spain,2005,1,1
Samuel Eto'o,Barcelona,Spain,2005,1,2
Mauro Esposito,Cagliari,Italy,2005,0,1
Nathan Ellington,West Brom,England,2005,1,1
Maurizio Domizzi,Ascoli,Italy,2005,2,2
Élie Kroupi,Nancy,France,2005,4,4
Arturo Di Napoli,Messina,Italy,2005,3,4
Andrés Fleurquin,Cádiz,Spain,2005,0,1
James Beattie,Everton,England,2005,0,1
Jermain Defoe,Tottenham,England,2005,0,1
Jean-Claude Darcheville,Bordeaux,France,2005,2,2
Moumouni Dagano,Sochaux,France,2005,1,1
Peter Crouch,Liverpool,England,2005,0,1
Francesco Cozza,Reggina,Italy,2005,1,1
Daniel Cousin,Lens,France,2005,1,2
Bernardo Corradi,Parma,Italy,2005,1,1
Eugenio Corini,Palermo,Italy,2005,1,1
Antonio Di Natale,Udinese,Italy,2005,1,1
Djibril Cissé,Liverpool,England,2005,2,2
Alessandro Del Piero,Juventus,Italy,2005,2,3
Thomas Christiansen,Hannover 96,Germany,2005,1,1
Enrico Chiesa,Siena,Italy,2005,3,6
Javier Casquero,Racing Sant,Spain,2005,1,1
Roberto Carlos,Real Madrid,Spain,2005,2,2
Fabián Canobbio,Celta Vigo,Spain,2005,0,1
Frank Lampard,Chelsea,England,2005,4,4
Thomas Brdarić,Hannover 96,Germany,2005,1,1
Tim Borowski,Werder Bremen,Germany,2005,0,1
Craig Bellamy,Blackburn,England,2005,1,1
Matteo Contini,Parma,Italy,2005,1,1
Søren Larsen,Schalke 04,Germany,2005,1,1
Cristian Chivu,Roma,Italy,2005,1,1
Rafael van der Vaart,Hamburger SV,Germany,2005,2,2
Francisco Copado,Eint Frankfurt,Germany,2005,1,2
Dimitar Berbatov,Leverkusen,Germany,2005,4,5
Milan Baroš,Aston Villa,England,2005,0,1
José Barkero,Real Sociedad,Spain,2005,1,1
Joey Barton,Manchester City,England,2005,1,2
Mathieu Bodmer,Lille,France,2005,2,3
Sergej Barbarez,Hamburger SV,Germany,2005,2,2
Júlio Baptista,Real Madrid,Spain,2005,1,1
Habib Bamogo,Nantes,France,2005,0,2
Ibrahima Bakayoko,Livorno,Italy,2005,1,1
Nicola Amoruso,Reggina,Italy,2005,2,2
Márcio Amoroso,Milan,Italy,2005,1,1
Shola Ameobi,Newcastle Utd,England,2005,1,1
Fernando Baiano,Celta Vigo,Spain,2005,3,3
Ioannis Amanatidis,Eint Frankfurt,Germany,2005,1,1
Darren Bent,Charlton Ath,England,2005,3,3
John Aloisi,Alavés,Spain,2005,1,2
Sergio Almirón,Empoli,Italy,2005,0,1
Yakubu Aiyegbeni,Middlesbrough,England,2005,3,3
Abdelaziz Ahanfouf,MSV Duisburg,Germany,2005,1,2
Aritz Aduriz,Athletic Club,Spain,2005,0,1
Amauri,Chievo,Italy,2005,2,3
Adriano,Inter,Italy,2005,2,2
David Bellion,Nice,France,2005,1,1
Monsef Zerka,Nancy,France,2006,1,1
Paulo Vitor Barreto,Udinese,Italy,2006,1,1
Róbert Vittek,Nürnberg,Germany,2006,0,1
Sergio Volpi,Sampdoria,Italy,2006,2,3
Danny Webber,Sheffield Utd,England,2006,0,1
Francisco Yeste,Athletic Club,Spain,2006,2,3
Artur Wichniarek,Arminia,Germany,2006,1,1
Riccardo Zampagna,Atalanta,Italy,2006,1,2
David Villa,Valencia,Spain,2006,3,4
Andrea Zanchetta,Chievo,Italy,2006,1,1
Karim Ziani,Sochaux,France,2006,4,4
Simone Vergassola,Siena,Italy,2006,1,1
Levan Kobiashvili,Schalke 04,Germany,2006,0,1
Jesús Vázquez,Recreativo,Spain,2006,3,3
Darius Vassell,Manchester City,England,2006,0,1
Ismael Urzaiz,Athletic Club,Spain,2006,2,2
David Unsworth,Wigan Athletic,England,2006,1,2
Francesco Totti,Roma,Italy,2006,5,10
Fernando Torres,Atlético Madrid,Spain,2006,4,8
Svetoslav Todorov,Wigan Athletic,England,2006,0,1
Carlos Tevez,West Ham,England,2006,1,1
Matthew Taylor,Portsmouth,England,2006,1,1
Raúl Tamudo,Espanyol,Spain,2006,3,3
Mohamed Zidan,Mainz 05,Germany,2006,4,5
Stéphane Noro,Sedan,France,2006,1,1
Nicola Ventola,Atalanta,Italy,2006,0,1
Gionatha Spinesi,Catania,Italy,2006,5,5
Steve Savidan,Valenciennes,France,2006,2,2
Nolberto Solano,Newcastle Utd,England,2006,2,2
Orlando Silvestri,Valenciennes,France,2006,0,1
David Suazo,Cagliari,Italy,2006,8,8
Gilberto Silva,Arsenal,England,2006,5,6
Antônio da Silva,Stuttgart,Germany,2006,0,1
Sergio,La Coruña,Spain,2006,1,1
Bernd Schneider,Leverkusen,Germany,2006,1,1
Sávio,Real Sociedad,Spain,2006,0,1
Luca Saudati,Empoli,Italy,2006,4,4
Álvaro Santos,Sochaux,France,2006,4,4
Boubacar Sanogo,Hamburger SV,Germany,2006,0,1
Georgios Samaras,Manchester City,England,2006,1,1
Rafik Saïfi,Lorient,France,2006,1,1
Florent Sinama Pongolle,Recreativo,Spain,2006,2,3
Louis Saha,Manchester Utd,England,2006,2,2
Alessandro Rosina,Torino,Italy,2006,3,3
Cristiano Ronaldo,Manchester Utd,England,2006,3,4
Ronaldinho,Barcelona,Spain,2006,7,8
Romaric,Le Mans,France,2006,1,1
Juan Román Riquelme,Villarreal,Spain,2006,1,1
Vicente Rodríguez,Valencia,Spain,2006,1,1
Juan Rodríguez,La Coruña,Spain,2006,1,1
Tommaso Rocchi,Lazio,Italy,2006,3,3
Jason Roberts,Blackburn,England,2006,0,1
Robert,Betis,Spain,2006,3,4
Christian Riganò,Messina,Italy,2006,5,6
Julio Ricardo Cruz,Inter,Italy,2006,0,1
Giuseppe Rossi,Parma,Italy,2006,3,4
Gary Speed,Bolton,England,2006,5,5
Laurențiu Reghecampf,AA Aachen,Germany,2006,5,7
Juan Pablo Francia,Bordeaux,France,2006,1,1
Jerome Thomas,Charlton Ath,England,2006,1,1
Xabi Prieto,Real Sociedad,Spain,2006,2,3
Samir Nasri,Marseille,France,2006,1,1
Javier Portillo,Gimnàstic,Spain,2006,2,2
Lukas Podolski,Bayern Munich,Germany,2006,1,1
Claudio Pizarro,Bayern Munich,Germany,2006,0,1
Luigi Pieroni,Auxerre,France,2006,1,1
Robin van Persie,Arsenal,England,2006,1,1
Juninho Pernambucano,Lyon,France,2006,1,2
Sergio Pellissier,Chievo,Italy,2006,2,4
Giampaolo Pazzini,Fiorentina,Italy,2006,2,2
Dimitri Payet,Nantes,France,2006,0,2
Pauleta,Paris S-G,France,2006,4,5
Lucas Neill,West Ham,England,2006,0,1
Alessandro Parisi,Messina,Italy,2006,2,2
Simone Pepe,Cagliari,Italy,2006,0,1
Oliver Neuville,M'Gladbach,Germany,2006,1,1
Juan Pablo Sorín,Hamburger SV,Germany,2006,2,2
Mamadou Niang,Marseille,France,2006,6,6
Ruud van Nistelrooy,Real Madrid,Spain,2006,2,3
Benjamin Nivet,Troyes,France,2006,3,5
Nenê,Celta Vigo,Spain,2006,2,2
Shabani Nonda,Blackburn,England,2006,1,1
Álvaro Novo,Real Sociedad,Spain,2006,1,1
Victor Obinna,Chievo,Italy,2006,1,2
Juan Pablo Ángel,Aston Villa,England,2006,1,2
Bakari Koné,Nice,France,2006,2,3
Marko Pantelić,Hertha BSC,Germany,2006,1,3
Massimo Maccarone,Siena,Italy,2006,1,1
Adrian Mutu,Fiorentina,Italy,2006,2,4
Vlad Munteanu,Energie Cottbus,Germany,2006,3,4
